time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-29T19:37:09.937Z,33.8817,141.6953,10,4.5,mb,,116,1.748,0.67,us,us7000ael6,2020-07-08T18:34:10.040Z,"189 km SE of Katsuura, Japan",earthquake,4.4,1,0.074,54,reviewed,us,us
2020-06-29T19:39:37.770Z,35.8773333,-117.6753333,8.34,0.95,ml,14,89,0.07327,0.19,ci,ci39272703,2020-06-29T19:43:21.027Z,"22km ESE of Little Lake, CA",earthquake,0.47,1.12,0.117,11,automatic,ci,ci
2020-06-29T19:40:12.952Z,-11.5057,-13.531,10,5.7,mww,,36,2.758,0.91,us,us7000ael8,2020-07-08T18:39:56.384Z,"Ascension Island region",earthquake,9.2,1.8,0.08,15,reviewed,us,us
2020-06-29T19:44:26.640Z,17.9483,-66.9411,12,2.18,md,11,210,0.0675,0.11,pr,pr2020181060,2020-07-02T21:37:14.110Z,"Puerto Rico",earthquake,0.65,0.35,0.24,10,reviewed,pr,pr
2020-06-29T19:55:12.690Z,33.5808333,-116.8018333,7.56,0.94,ml,39,38,0.03401,0.18,ci,ci39272727,2020-06-29T19:59:13.433Z,"12km WNW of Anza, CA",earthquake,0.24,0.52,0.182,29,automatic,ci,ci
2020-06-29T19:57:11.102Z,32.7475,-103.4439,5,2.7,mb_lg,,76,0.393,0.36,us,us7000aeli,2020-06-30T20:15:22.040Z,"23km SSW of Lovington, New Mexico",earthquake,1.7,1.8,0.089,33,reviewed,us,us
2020-06-29T20:00:58.680Z,35.7166667,-118.0551667,0.37,0.41,ml,12,118,0.1539,0.16,ci,ci39272751,2020-06-30T03:30:19.674Z,"23km WNW of Inyokern, CA",earthquake,0.3,0.57,0.122,5,reviewed,ci,ci
2020-06-29T20:01:27.010Z,17.986,-66.8456,11,2.72,md,22,160,0.0353,0.18,pr,pr2020181062,2020-07-02T21:39:33.197Z,"2 km WSW of Indios, Puerto Rico",earthquake,0.36,0.31,0.41,21,reviewed,pr,pr
2020-06-29T20:04:03.889Z,59.3434,-151.3456,45.7,1.5,ml,,,,0.36,ak,ak0208bo7coh,2020-07-06T15:17:00.425Z,"22 km SE of Seldovia Village, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-29T20:15:05.230Z,35.6525,-117.3838333,2.24,0.55,ml,6,189,0.09173,0.14,ci,ci39272767,2020-06-30T03:34:55.083Z,"12km S of Trona, CA",earthquake,0.49,0.54,0.053,1,reviewed,ci,ci
2020-06-29T20:17:56.910Z,19.3643333333333,-155.022833333333,3.47,2.21,ml,47,186,,0.16,hv,hv72021872,2020-06-29T21:24:17.120Z,"15km SW of Leilani Estates, Hawaii",earthquake,0.44,0.86,0.126145751587583,20,reviewed,hv,hv
2020-06-29T20:19:33.620Z,38.1272,-118.066,2.4,0.4,ml,8,218.77,0.075,0.03,nn,nn00755099,2020-06-29T20:40:00.575Z,"65km SE of Hawthorne, Nevada",earthquake,,8.6,,,automatic,nn,nn
2020-06-29T20:21:54.370Z,54.6447,-162.2393,75.1,2,ml,,,,0.33,ak,ak0208bob3w9,2020-07-06T15:17:01.509Z,"46 km S of King Cove, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2020-06-29T20:22:16.063Z,-22.0232,-175.2811,35,4.8,mb,,47,5.81,1.23,us,us7000aemu,2020-07-09T18:30:36.040Z,"83 km SSW of ‘Ohonua, Tonga",earthquake,4.6,1.9,0.061,84,reviewed,us,us
2020-06-29T20:22:57.430Z,39.4135,-110.3171667,-0.86,1.27,md,5,195,0.01224,0.04,uu,uu60399712,2020-06-30T13:45:50.290Z,"17km SSE of East Carbon City, Utah",earthquake,1.11,0.39,0.246,5,reviewed,uu,uu
2020-06-29T20:25:47.940Z,35.8699989,-117.6806641,4.69,0.39,ml,8,84,0.08153,0.07,ci,ci39272775,2020-06-29T20:29:16.110Z,"22km ESE of Little Lake, CA",earthquake,0.53,2.36,0.092,3,automatic,ci,ci
2020-06-29T20:30:02.640Z,17.945,-66.8865,10,2.55,md,21,196,0.031,0.19,pr,pr2020181063,2020-07-02T21:39:58.405Z,"3 km S of Maria Antonia, Puerto Rico",earthquake,0.43,0.47,0.31,18,reviewed,pr,pr
2020-06-29T20:35:53.020Z,37.647,-119.3823333,8.08,1.12,md,14,148,0.241,0.03,nc,nc73419086,2020-06-30T08:42:03.549Z,"20km ESE of Yosemite Valley, CA",earthquake,0.39,2.73,0.157,11,reviewed,nc,nc
2020-06-29T20:37:15.180Z,38.2242,-117.8963,0.3,0.7,ml,8,203.82,0.084,0.16,nn,nn00755100,2020-06-29T20:44:00.785Z,"60km WNW of Tonopah, Nevada",earthquake,,13.5,,,automatic,nn,nn
2020-06-29T20:38:44.100Z,47.4126667,-114.3443333,2.28,0.6,md,12,73,0.053,0.16,mb,mb80444034,2020-06-30T14:12:33.020Z,"22km SW of Ronan, Montana",earthquake,0.39,0.72,0.147,8,reviewed,mb,mb
2020-06-29T20:42:53.024Z,38.1464,-118.0545,3.9,2,ml,19,111.47,0.075,0.152,nn,nn00755101,2020-06-30T02:19:21.170Z,"65km SE of Hawthorne, Nevada",earthquake,,2.3,0.19,7,reviewed,nn,nn
2020-06-29T20:43:19.720Z,19.2080001831055,-155.419998168945,31.3199996948242,2.05,ml,41,144,,0.119999997,hv,hv72021897,2020-06-29T20:52:10.750Z,"6km E of Pahala, Hawaii",earthquake,0.58,0.730000019,4.56,4,automatic,hv,hv
2020-06-29T20:43:39.820Z,17.9026,-66.8391,11,2.52,md,21,205,0.0829,0.23,pr,pr2020181064,2020-07-26T23:59:15.694Z,"9 km SSE of Maria Antonia, Puerto Rico",earthquake,0.7,0.62,0.29,20,reviewed,pr,pr
2020-06-29T20:48:29.329Z,44.2945,-115.2665,10,2.4,ml,,62,0.95,0.87,us,us7000af52,2020-07-08T18:45:33.040Z,"27 km WNW of Stanley, Idaho",earthquake,2.2,2,0.06,36,reviewed,us,us
2020-06-29T20:51:31.790Z,44.6245,-124.358,25.85,1.84,ml,17,240,0.2226,0.1,uw,uw61639602,2020-06-30T04:34:40.610Z,"24km W of Newport, Oregon",earthquake,0.45,0.52,0.121945946732615,4,reviewed,uw,uw
2020-06-29T21:03:38.520Z,36.4501667,-117.983,6.29,1.32,ml,14,152,0.07901,0.13,ci,ci39272855,2020-06-29T23:22:36.069Z,"17km SSE of Lone Pine, CA",earthquake,0.7,1.31,0.222,6,reviewed,ci,ci
2020-06-29T21:06:13.310Z,33.1508333,-115.6186667,6.81,0.94,ml,9,111,0.02669,0.16,ci,ci39272847,2020-06-29T21:21:23.178Z,"10km WNW of Calipatria, CA",earthquake,0.43,0.74,0.183,5,reviewed,ci,ci
2020-06-29T21:12:48.370Z,39.4116667,-110.3081667,-1.13,1.44,ml,7,198,0.01806,0.05,uu,uu60399722,2020-06-30T13:52:02.270Z,"17km SSE of East Carbon City, Utah",earthquake,0.59,0.4,0.066,2,reviewed,uu,uu
2020-06-29T21:12:49.670Z,38.2253,-117.7968,0.7,1.3,ml,10,207.74,0.07,0.06,nn,nn00755103,2020-06-29T21:36:42.182Z,"52km WNW of Tonopah, Nevada",earthquake,,7.7,,,automatic,nn,nn
2020-06-29T21:12:54.600Z,35.9433333,-117.6555,8.04,0.91,ml,12,59,0.006167,0.15,ci,ci39272871,2020-06-29T21:16:38.911Z,"23km E of Little Lake, CA",earthquake,0.36,0.57,0.135,8,automatic,ci,ci
2020-06-29T21:15:18.570Z,17.9401,-66.8801,9,3.22,md,23,194,0.035,0.18,pr,pr2020181013,2020-07-12T22:07:52.040Z,"5km SSE of Maria Antonia, Puerto Rico",earthquake,0.48,0.44,0.21,16,reviewed,pr,pr
2020-06-29T21:20:09.241Z,69.5021,-144.6186,2.7,1.5,ml,,,,0.51,ak,ak0208bow85b,2020-07-06T15:17:02.572Z,"80 km SSW of Kaktovik, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-29T21:23:22.010Z,33.709,-117.4396667,9.57,1.12,ml,26,45,0.05341,0.21,ci,ci39272887,2020-06-30T13:40:50.775Z,"11km WNW of Lake Elsinore, CA",earthquake,0.36,0.59,0.311,30,reviewed,ci,ci
2020-06-29T21:30:04.650Z,35.7563324,-117.5686646,8.52,0.96,ml,10,152,0.06375,0.06,ci,ci39272903,2020-06-29T21:33:48.508Z,"15km W of Searles Valley, CA",earthquake,1.26,1.19,0.144,5,automatic,ci,ci
2020-06-29T21:30:29.830Z,17.947,-66.9393,14,1.77,md,13,210,0.0663,0.07,pr,pr2020181048,2020-07-02T08:11:27.494Z,"Puerto Rico region",earthquake,0.34,0.48,0.29,7,reviewed,pr,pr
2020-06-29T21:33:42.130Z,36.52983333,-98.97933333,7.09,0.87,ml,17,130,0.04679081805,0.08,ok,ok2020msnf,2020-06-30T14:59:02.010Z,"22km ENE of Mooreland, Oklahoma",earthquake,,0.4,0.2,6,reviewed,ok,ok
2020-06-29T21:35:08.050Z,38.1715,-117.793,1.2,1.4,ml,8,145.5,0.033,0.24,nn,nn00755105,2020-06-29T22:35:42.383Z,"50km WNW of Tonopah, Nevada",earthquake,,20.3,,,automatic,nn,nn
2020-06-29T21:36:11.440Z,35.8663333,-117.6661667,11.03,0.55,ml,7,95,0.07524,0.16,ci,ci39272911,2020-06-29T21:39:42.707Z,"23km ESE of Little Lake, CA",earthquake,0.57,1.29,0.09,6,automatic,ci,ci
2020-06-29T21:36:27.270Z,17.9425,-66.8858,9,2.76,md,23,193,0.0333,0.21,pr,pr2020181065,2020-07-07T00:50:44.040Z,"3 km S of Maria Antonia, Puerto Rico",earthquake,0.4,0.36,0.41,10,reviewed,pr,pr
2020-06-29T21:38:54.130Z,36.4431667,-117.9738333,5.56,1.46,ml,13,144,0.0858,0.26,ci,ci39272919,2020-06-29T21:42:51.757Z,"18km SSE of Lone Pine, CA",earthquake,0.62,2.01,0.111,14,automatic,ci,ci
2020-06-29T21:40:01.000Z,36.4565277,-117.9400711,5,1.84,ml,0,,0.1142,,ci,ci39272927,2020-06-29T23:24:54.261Z,"19km SE of Lone Pine, CA",earthquake,,,0.057,1,reviewed,ci,ci
2020-06-29T21:47:11.510Z,17.9385,-66.9375,13,2.43,md,19,206,0.0688,0.18,pr,pr2020181066,2020-07-03T07:49:08.410Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.61,0.31,0.23,10,reviewed,pr,pr
2020-06-29T21:53:10.243Z,61.5415,-141.0701,16.4,1.9,ml,,,,0.55,ak,ak0208bp3av6,2020-07-06T15:17:03.767Z,"99 km E of McCarthy, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-29T21:56:11.840Z,39.4105,-110.3065,-1.44,1.46,ml,8,198,0.0198,0.1,uu,uu60399727,2020-06-30T13:57:43.310Z,"17km SSE of East Carbon City, Utah",earthquake,0.78,0.51,0.065,2,reviewed,uu,uu
2020-06-29T22:04:36.841Z,58.295,-154.9899,1.4,2.5,ml,,,,0.46,ak,ak0208bpeaeh,2020-07-07T00:59:01.040Z,"86 km NNW of Karluk, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-06-29T22:09:15.679Z,36.86283333,-97.71466667,4.04,1.62,ml,51,89,0.1169770451,0.22,ok,ok2020msok,2020-06-30T15:15:20.113Z,"6km NNE of Medford, Oklahoma",earthquake,,0.7,0.2,18,reviewed,ok,ok
2020-06-29T22:19:37.530Z,33.8981667,-116.2146667,7.65,1.03,ml,27,91,0.0438,0.21,ci,ci39272959,2020-06-29T22:23:23.631Z,"18km ENE of Thousand Palms, CA",earthquake,0.36,0.76,0.135,25,automatic,ci,ci
2020-06-29T22:20:58.770Z,17.9553,-66.9248,12,1.84,md,14,205,0.0497,0.19,pr,pr2020181014,2020-07-01T09:51:29.956Z,"2 km SW of Guánica, Puerto Rico",earthquake,0.51,0.57,0.09,4,reviewed,pr,pr
2020-06-29T22:22:54.820Z,38.8066673,-122.817337,2.96,0.55,md,14,79,0.009509,0.02,nc,nc73419111,2020-06-29T22:46:06.885Z,"6km WNW of The Geysers, CA",earthquake,0.39,0.7,,1,automatic,nc,nc
2020-06-29T22:25:08.760Z,17.9398,-66.8838,9,3.5,ml,24,202,0.0356,0.09,pr,pr2020181011,2020-07-07T01:02:51.540Z,"12km SSE of Guanica, Puerto Rico",earthquake,0.39,0.41,0.12,16,reviewed,pr,pr
2020-06-29T22:28:01.811Z,11.4706,-87.8791,10,5.1,mww,,66,1.733,0.92,us,us7000aerg,2020-07-07T01:10:18.040Z,"135 km SW of Corinto, Nicaragua",earthquake,6.7,1.8,0.044,49,reviewed,us,us
2020-06-29T22:35:54.600Z,36.4288333,-117.9155,6.24,1.47,ml,7,121,0.1332,0.12,ci,ci39272975,2020-06-29T23:26:44.275Z,"18km NNE of Olancha, CA",earthquake,0.35,31.61,0.067,2,reviewed,ci,ci
2020-06-29T22:38:22.780Z,38.1868,-117.9575,3.2,1.3,ml,11,156.12,0.036,0.06,nn,nn00755113,2020-06-29T23:00:01.867Z,"65km WNW of Tonopah, Nevada",earthquake,,0.6,,,automatic,nn,nn
2020-06-29T22:41:28.310Z,17.9406,-66.8878,10,1.9,md,21,202,0.0356,0.17,pr,pr2020181020,2020-07-01T09:51:18.164Z,"4 km SSE of Guánica, Puerto Rico",earthquake,0.45,0.37,0.16,5,reviewed,pr,pr
2020-06-29T22:42:09.152Z,53.5553,-165.6587,48.1,1.8,ml,,,,0.41,ak,ak0208bpmdh4,2020-07-06T15:17:06.340Z,"64 km S of Akutan, Alaska",earthquake,,3,,,reviewed,ak,ak
2020-06-29T22:43:40.200Z,36.5423333,-118.0173333,5.81,1.44,ml,2,240,0.1141,0.02,ci,ci39272999,2020-06-29T23:27:41.180Z,"7km SE of Lone Pine, CA",earthquake,1.35,31.61,0.084,2,reviewed,ci,ci
2020-06-29T22:46:23.255Z,63.1202,-150.5219,102.7,1.1,ml,,,,0.56,ak,ak0208bpn9ad,2020-07-06T15:17:07.393Z,"70 km N of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-29T22:49:32.024Z,59.3202,-153.4793,107.5,1.6,ml,,,,0.34,ak,ak0208bpnx7c,2020-07-06T15:17:08.488Z,"62 km SE of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-29T22:59:02.560Z,38.1667,-117.8693,10.9,1.5,ml,10,92.5,0.008,0.08,nn,nn00755115,2020-06-29T23:02:23.886Z,"57km WNW of Tonopah, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-29T23:00:53.780Z,36.4208333,-117.9021667,1.01,1.45,ml,24,66,0.1448,0.22,ci,ci39273015,2020-07-01T17:59:44.714Z,"18km NNE of Olancha, CA",earthquake,0.3,0.71,0.172,20,reviewed,ci,ci
2020-06-29T23:03:35.310Z,38.1778,-117.8817,4.4,1.4,ml,14,92.68,0.02,0.13,nn,nn00755120,2020-06-29T23:12:43.458Z,"58km WNW of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-29T23:03:41.670Z,62.145,-152.1155,103.8,1.3,ml,,,,0.48,ak,ak0208bpzikz,2020-07-06T15:17:10.803Z,"41 km WNW of Skwentna, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-29T23:09:16.790Z,35.8613333,-117.6608333,10.99,0.75,ml,12,99,0.06868,0.1,ci,ci39273039,2020-06-30T19:38:12.592Z,"24km ESE of Little Lake, CA",earthquake,0.27,0.49,0.125,5,reviewed,ci,ci
2020-06-29T23:11:21.375Z,38.1664,-117.9464,4.6,2.5,ml,22,48.31,0.029,0.1229,nn,nn00755123,2020-06-30T02:19:22.709Z,"67km W of Tonopah, Nevada",earthquake,,0.9,0.5,9,reviewed,nn,nn
2020-06-29T23:18:11.720Z,46.8506666666667,-121.755166666667,1.18,0.32,ml,11,77,0.0214,0.08,uw,uw61639682,2020-07-02T16:47:41.040Z,"23 km ENE of Ashford, Washington",earthquake,0.36,0.51,0.114423267329752,6,reviewed,uw,uw
2020-06-29T23:20:09.400Z,35.9258333,-117.7556667,5.83,0.64,ml,10,79,0.05555,0.1,ci,ci39273047,2020-06-29T23:23:51.162Z,"14km E of Little Lake, CA",earthquake,0.25,1.08,0.218,6,automatic,ci,ci
2020-06-29T23:26:48.060Z,38.8079987,-122.8218307,2.52,0.76,md,21,64,0.005806,0.02,nc,nc73419131,2020-06-30T01:22:03.782Z,"7km WNW of The Geysers, CA",earthquake,0.23,0.51,0.19,4,automatic,nc,nc
2020-06-29T23:34:02.380Z,61.1213,-140.5254,11.3,0.7,ml,,,,0.67,ak,ak0208bq636u,2020-07-06T15:17:11.962Z,"133 km ESE of McCarthy, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-06-29T23:44:59.060Z,35.754,-117.566,6.93,1.72,ml,22,85,0.06672,0.13,ci,ci39273055,2020-06-30T13:40:36.810Z,"15km W of Searles Valley, CA",earthquake,0.22,0.53,0.166,26,reviewed,ci,ci
2020-06-29T23:50:19.240Z,38.8373333,-122.8295,2.08,0.33,md,23,74,0.004841,0.02,nc,nc73419141,2020-07-02T21:35:43.096Z,"9km NW of The Geysers, CA",earthquake,0.2,0.39,0.035,3,reviewed,nc,nc
2020-06-29T23:53:08.120Z,36.2163333,-117.891,1.51,1.15,ml,16,131,0.1815,0.09,ci,ci39273063,2020-06-30T19:44:45.277Z,"12km SE of Olancha, CA",earthquake,0.24,0.73,0.185,14,reviewed,ci,ci
2020-06-29T23:57:02.844Z,-13.7133,167.861,10,4.4,mb,,157,7.609,0.67,us,us7000ahh0,2020-07-18T05:01:51.040Z,"37 km ENE of Sola, Vanuatu",earthquake,8.7,1.9,0.17,10,reviewed,us,us
2020-06-30T00:03:00.950Z,19.049165725708,-155.507339477539,43,1.91999996,md,10,284,,0.100000001,hv,hv72022047,2020-06-30T00:06:13.080Z,"17km S of Pahala, Hawaii",earthquake,2.05,2.42000008,1.95000005,4,automatic,hv,hv
2020-06-30T00:07:56.853Z,38.1492,-117.9656,8.8,2.5,ml,24,47.47,0.011,0.1568,nn,nn00755130,2020-07-18T04:53:13.040Z,"65km W of Tonopah, Nevada",earthquake,,0.7,0.35,8,reviewed,nn,nn
2020-06-30T00:12:34.520Z,19.0971660614014,-155.433837890625,40.0200004577637,2.3900001,md,26,255,,0.119999997,hv,hv72022072,2020-06-30T00:15:42.180Z,"12km SSE of Pahala, Hawaii",earthquake,1.66,2.36999989,0.74000001,7,automatic,hv,hv
2020-06-30T00:19:24.750Z,48.656,-122.3055,15.17,1.05,ml,10,110,0.2525,0.17,uw,uw61639737,2020-07-02T16:53:02.460Z,"Washington",earthquake,0.44,1.32,0.0491456474530321,4,reviewed,uw,uw
2020-06-30T00:29:30.389Z,38.1216,-118.006,3.8,1.9,ml,20,58.15,0.041,0.2336,nn,nn00755132,2020-06-30T20:47:40.365Z,"68km W of Tonopah, Nevada",earthquake,,1.8,0.41,7,reviewed,nn,nn
2020-06-30T00:42:21.850Z,17.9381,-66.8981,14,0.89,ml,11,214,0.1494,0.28,pr,pr2020182008,2020-07-02T23:42:15.204Z,"3 km SSE of Guánica, Puerto Rico",earthquake,0.94,1.2,0,0,reviewed,pr,pr
2020-06-30T00:44:57.620Z,38.1601,-117.8956,11.1,2,ml,20,62.91,0.019,0.1493,nn,nn00755133,2020-06-30T22:43:09.937Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.31,8,reviewed,nn,nn
2020-06-30T00:48:17.960Z,35.8103333,-117.6358333,9.1,0.44,ml,15,72,0.03161,0.13,ci,ci39273087,2020-06-30T03:14:22.656Z,"21km N of Ridgecrest, CA",earthquake,0.25,0.53,0.091,6,reviewed,ci,ci
2020-06-30T00:54:56.220Z,55.4416667,-161.8743333,29.29,0.31,ml,7,146,0.07063,0.14,av,av70905294,2020-07-01T05:11:00.340Z,"50 km NE of King Cove, Alaska",earthquake,1.25,0.95,0.154,7,reviewed,av,av
2020-06-30T00:57:11.770Z,55.4385,-161.8728333,28.1,0.62,ml,7,143,0.07116,0.13,av,av70905304,2020-07-02T01:12:57.130Z,"50 km NE of King Cove, Alaska",earthquake,1.09,1.01,0.277,7,reviewed,av,av
2020-06-30T00:57:36.110Z,17.9305,-66.9373,13,2.48,md,20,212,0.0732,0.2,pr,pr2020182010,2020-07-02T23:44:33.492Z,"5 km SW of Guánica, Puerto Rico",earthquake,0.8,0.34,0.25,13,reviewed,pr,pr
2020-06-30T01:04:42.963Z,38.1383,-118.0054,5.5,1.9,ml,23,54.44,0.036,0.2557,nn,nn00755135,2020-06-30T21:03:21.266Z,"68km W of Tonopah, Nevada",earthquake,,1.4,0.22,9,reviewed,nn,nn
2020-06-30T01:06:54.470Z,38.1453,-117.91,9.5,1.1,ml,10,89.21,0.033,0.03,nn,nn00755137,2020-06-30T01:28:40.333Z,"60km W of Tonopah, Nevada",earthquake,,0.5,,,automatic,nn,nn
2020-06-30T01:06:57.410Z,35.7746667,-117.582,6.32,1.09,ml,15,149,0.04288,0.21,ci,ci39273103,2020-06-30T01:10:43.989Z,"16km W of Searles Valley, CA",earthquake,0.57,1.08,0.143,13,automatic,ci,ci
2020-06-30T01:10:54.510Z,36.4436667,-117.9106667,1.76,1.31,ml,17,130,0.1367,0.11,ci,ci39273119,2020-06-30T19:53:50.409Z,"20km NNE of Olancha, CA",earthquake,0.2,0.77,0.205,15,reviewed,ci,ci
2020-06-30T01:12:24.871Z,64.7932,-150.5324,15,1,ml,,,,0.72,ak,ak0208d0h7zd,2020-07-09T22:14:30.051Z,"23 km SSE of Manley Hot Springs, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-30T01:13:20.380Z,34.4495,-117.934,9.82,0.97,ml,13,77,0.0177,0.23,ci,ci39273111,2020-06-30T01:17:02.842Z,"7km SSW of Pearblossum, CA",earthquake,0.53,0.77,0.241,27,automatic,ci,ci
2020-06-30T01:15:50.840Z,56.7874,-155.7149,72.2,2,ml,,,,0.48,ak,ak0208d0hx58,2020-07-09T22:15:58.066Z,"Alaska Peninsula",earthquake,,1.2,,,reviewed,ak,ak
2020-06-30T01:19:38.195Z,37.1017,142.3757,35,4.5,mb,,135,3.389,0.68,us,us7000ajbz,2020-07-10T02:17:29.040Z,"129 km ESE of Namie, Japan",earthquake,8.8,2,0.106,26,reviewed,us,us
2020-06-30T01:22:18.633Z,64.2223,-146.9871,4.2,0.9,ml,,,,0.63,ak,ak0208d0jcsg,2020-07-09T22:14:31.288Z,"25 km SW of Harding-Birch Lakes, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2020-06-30T01:24:56.539Z,52.9332,161.2728,10,4.2,mb,,147,1.588,0.86,us,us7000ajc0,2020-07-10T02:24:21.040Z,"176 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,10.3,1.9,0.121,19,reviewed,us,us
2020-06-30T01:25:15.551Z,60.5155,-147.42,6.1,2.5,ml,,,,0.54,ak,ak0208d0jzkn,2020-07-10T02:01:19.040Z,"56 km SW of Tatitlek, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-30T01:27:18.204Z,61.5382,-141.0934,4.8,1.3,ml,,,,0.49,ak,ak0208d0kf7x,2020-07-09T22:14:33.916Z,"98 km E of McCarthy, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2020-06-30T01:27:24.110Z,35.7641667,-117.5508333,10.94,1.54,ml,26,77,0.06394,0.18,ci,ci39273127,2020-06-30T13:40:33.720Z,"13km W of Searles Valley, CA",earthquake,0.34,0.5,0.13,25,reviewed,ci,ci
2020-06-30T01:28:04.672Z,-33.1173,-177.5735,10,4.4,mb,,120,3.872,0.87,us,us7000ajc4,2020-07-10T02:34:42.040Z,"south of the Kermadec Islands",earthquake,10.8,1.8,0.179,9,reviewed,us,us
2020-06-30T01:35:55.530Z,17.9401,-66.9388,14,2.52,md,21,199,0.0691,0.22,pr,pr2020182009,2020-07-03T07:51:07.970Z,"4 km SW of Guánica, Puerto Rico",earthquake,0.53,0.47,0.37,13,reviewed,pr,pr
2020-06-30T01:39:46.572Z,-53.2171,23.4654,10,4.3,mb,,78,21.799,0.58,us,us7000ajc5,2020-07-10T03:18:37.040Z,"south of Africa",earthquake,14.3,1.9,0.142,14,reviewed,us,us
2020-06-30T01:39:59.470Z,35.6166667,-117.389,6.71,1.23,ml,15,144,0.06682,0.2,ci,ci39273135,2020-06-30T01:43:42.537Z,"16km S of Trona, CA",earthquake,0.56,0.97,0.168,15,automatic,ci,ci
2020-06-30T01:42:59.968Z,66.2701,-157.1799,9.3,0.8,ml,,,,0.55,ak,ak0208d0ntbb,2020-07-09T22:14:35.148Z,"68 km S of Shungnak, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-30T01:44:46.088Z,53.8481,-166.7484,6.9,1.8,ml,,,,0.5,ak,ak0208d0o4nh,2020-07-09T22:14:36.354Z,"14 km WSW of Unalaska, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-06-30T01:49:47.970Z,17.913,-66.7535,6,2.64,md,13,232,0.1402,0.25,pr,pr2020182011,2020-07-03T07:52:33.210Z,"9 km SSW of Tallaboa, Puerto Rico",earthquake,0.86,0.46,0.2,10,reviewed,pr,pr
2020-06-30T01:51:35.098Z,63.0882,-150.6888,112.6,1.4,ml,,,,0.5,ak,ak0208d0plrv,2020-07-09T22:14:37.455Z,"66 km N of Petersville, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-30T01:53:13.950Z,61.0708,-152.4517,150.5,1.8,ml,,,,0.5,ak,ak0208d0pzib,2020-07-09T22:15:59.184Z,"70 km W of Tyonek, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2020-06-30T01:54:30.978Z,13.1582,146.2587,10,4.6,mb,,143,1.419,0.56,us,us7000aetv,2020-07-10T03:38:44.040Z,"154 km ESE of Yigo Village, Guam",earthquake,5.3,1.9,0.086,40,reviewed,us,us
2020-06-30T01:54:43.736Z,60.986,-146.3003,5.7,2,ml,,,,0.57,ak,ak0208d0q9jf,2020-07-09T22:15:34.306Z,"16 km S of Valdez, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-06-30T01:57:08.963Z,48.9882,154.6709,10,4.7,mb,,138,4.545,0.6,us,us7000aetu,2020-07-10T04:03:20.040Z,"214 km SSW of Severo-Kuril’sk, Russia",earthquake,10.7,1.9,0.097,32,reviewed,us,us
2020-06-30T01:58:30.317Z,6.9303,116.3824,620.54,4.9,mb,,31,0.895,0.63,us,us7000ajc1,2020-07-12T23:37:04.040Z,"48 km W of Kudat, Malaysia",earthquake,8.1,4.7,0.051,119,reviewed,us,us
2020-06-30T01:59:15.400Z,47.5898333333333,-122.5495,21.94,0.51,md,5,303,0.1666,0.12,uw,uw61639807,2020-06-30T04:21:52.500Z,"3km N of Manchester, Washington",earthquake,1.58,1.77,0.180457166938373,4,reviewed,uw,uw
2020-06-30T02:01:37.310Z,17.9245,-66.9326,13,2.46,md,12,224,0.0736,0.18,pr,pr2020182012,2020-07-03T01:59:19.270Z,"5 km SSW of Guánica, Puerto Rico",earthquake,0.79,0.33,0.19,5,reviewed,pr,pr
2020-06-30T02:02:20.550Z,17.977,-66.7128,10,3.15,md,23,178,0.1252,0.16,pr,pr2020182013,2020-07-03T07:54:26.794Z,"2 km S of Tallaboa, Puerto Rico",earthquake,0.44,0.33,0.17,13,reviewed,pr,pr
2020-06-30T02:13:58.660Z,36.4256667,-117.9023333,1.73,1.31,ml,20,68,0.1441,0.16,ci,ci39273151,2020-06-30T21:13:23.772Z,"18km NNE of Olancha, CA",earthquake,0.24,0.86,0.212,19,reviewed,ci,ci
